nodesPerPartition bytesPerNode cliquesPerPartition
3 0 1
2 0 1
5 0 1
4 1 3
7 1 3
3 0 1
3 1 2
4 1 2
4 1 2
4 1 2
2 0 1
6 1 2
2 0 1
3 0 1
9 1 3
13 1 6
5 1 3
7 0 1
4 0 1
6 1 3
4 0 1
4 0 1
8 1 2
5 1 2
5 0 1
9 1 4
9 1 3
10 1 6
3 0 1
6 1 2
7 1 6
2 0 1
6 1 4
6 1 3
3 1 2
8 1 2
4 0 1
7 1 3
5 1 2
4 1 2
6 1 2
14 1 4
7 1 2
5 1 3
6 1 3
8 1 2
2 0 1
8 1 3
3 0 1
4 1 3
5 1 2
7 1 3
2 0 1
7 1 5
2 0 1
3 0 1
2 0 1
3 0 1
7 1 4
8 1 6
3 1 2
5 0 1
3 0 1
6 0 1
2 0 1
10 1 3
9 1 5
6 1 3
12 1 2
4 1 2
6 1 2
4 1 2
5 1 3
10 1 5
7 1 2
2 0 1
12 1 5
4 1 2
4 1 3
8 1 4
3 0 1
11 1 7
4 0 1
8 1 2
9 1 3
9 1 5
2 0 1
12 1 7
11 1 5
5 1 2
3 0 1
11 1 4
8 1 4
7 1 2
3 0 1
10 1 5
8 1 3
6 1 4
7 1 4
10 1 6
6 1 2
4 0 1
10 1 2
2 0 1
5 1 2
3 0 1
3 0 1
3 0 1
6 1 3
8 1 4
4 0 1
8 1 2
4 1 2
4 1 2
2 0 1
2 0 1
10 1 5
2 0 1
3 0 1
6 1 3
10 1 4
4 1 2
3 0 1
4 0 1
9 1 3
5 1 2
7 1 2
7 1 2
2 0 1
5 1 2
4 1 2
8 1 2
2 0 1
9 0 1
12 1 3
4 0 1
3 0 1
11 1 5
3 0 1
9 1 4
7 0 1
2 0 1
6 0 1
3 0 1
9 1 5
2 0 1
2 0 1
2 0 1
4 1 2
6 1 3
2 0 1
6 1 2
15 1 2
5 0 1
8 1 4
9 1 6
9 1 4
6 1 2
2 0 1
11 1 5
4 0 1
5 0 1
4 1 2
9 1 5
8 1 2
8 1 3
2 0 1
7 1 2
13 1 5
8 1 2
5 0 1
5 1 3
7 1 3
8 1 3
3 0 1
6 1 4
10 1 6
2 0 1
13 1 4
8 1 5
4 0 1
7 1 2
8 1 4
10 1 4
9 0 1
11 1 8
3 0 1
4 0 1
3 0 1
10 1 6
7 1 2
10 1 3
8 1 6
12 1 3
6 0 1
7 1 3
2 0 1
9 1 4
3 0 1
14 1 5
11 1 5
11 1 5
12 1 4
4 0 1
5 0 1
9 1 6
4 0 1
3 0 1
9 1 3
5 0 1
10 1 2
9 1 3
3 0 1
8 1 4
4 0 1
14 1 4
11 1 4
9 1 6
10 1 6
4 1 2
10 1 5
5 1 3
6 1 3
5 1 3
9 1 5
4 1 3
2 0 1
5 1 2
2 0 1
3 0 1
4 1 2
15 1 3
3 1 2
3 1 2
6 1 4
9 0 1
2 0 1
2 0 1
5 1 2
2 0 1
3 1 2
8 1 5
4 1 3
4 1 2
3 0 1
9 1 6
4 0 1
4 1 2
3 0 1
3 1 2
2 0 1
4 1 3
3 0 1
5 1 2
4 0 1
3 0 1
3 1 2
4 0 1
4 1 2
2 0 1
4 1 3
3 0 1
4 1 3
3 1 2
4 1 3
7 1 3
11 1 4
10 1 4
9 1 7
9 0 1
4 1 2
2 0 1
2 0 1
5 1 3
5 1 3
4 0 1
5 1 2
3 1 2
4 1 2
2 0 1
9 1 4
3 1 2
6 1 3
9 1 7
5 1 3
3 0 1
5 1 3
7 1 5
2 0 1
3 1 2
5 1 3
9 1 2
4 1 2
9 1 6
2 0 1
3 1 2
6 1 4
2 0 1
6 1 4
5 1 2
9 1 6
3 1 2
9 1 2
6 1 2
8 1 4
8 1 5
5 1 2
2 0 1
7 1 5
4 1 2
8 1 6
6 1 3
7 1 4
6 1 4
4 1 3
2 0 1
5 0 1
5 1 3
7 1 4
5 1 2
4 0 1
15 1 3
4 1 2
10 1 8
5 1 3
3 1 2
9 1 4
2 0 1
6 1 5
2 0 1
6 1 2
2 0 1
4 0 1
6 1 5
2 0 1
2 0 1
3 0 1
4 0 1
8 1 2
3 1 2
4 0 1
4 0 1
4 1 3
8 1 3
6 1 4
5 0 1
6 1 3
3 0 1
7 1 5
14 1 3
4 1 2
8 0 1
7 1 5
2 0 1
8 1 4
5 1 3
6 1 2
3 1 2
6 1 4
9 1 7
3 1 2
3 0 1
9 1 6
3 0 1
5 1 2
2 0 1
2 0 1
3 1 2
4 1 3
6 1 2
5 1 2
2 0 1
4 1 2
5 0 1
9 1 3
6 1 2
2 0 1
4 1 2
2 0 1
2 0 1
9 1 3
2 0 1
3 0 1
4 0 1
2 0 1
4 0 1
2 0 1
8 1 4
8 1 4
2 0 1
4 1 2
2 0 1
3 0 1
3 0 1
5 1 2
2 0 1
7 1 2
11 1 5
3 0 1
2 0 1
4 1 2
4 1 3
5 1 4
3 0 1
3 0 1
2 0 1
2 0 1
2 0 1
3 0 1
3 1 2
5 1 2
10 1 5
4 1 2
9 1 3
6 1 4
6 1 3
2 0 1
2 0 1
4 0 1
9 1 3
5 1 3
7 1 4
4 0 1
9 1 6
3 0 1
2 0 1
6 1 3
3 0 1
3 0 1
2 0 1
9 1 4
3 0 1
3 1 2
7 1 4
3 1 2
3 0 1
4 0 1
9 1 6
2 0 1
6 1 2
6 1 4
7 1 3
2 0 1
6 1 2
4 0 1
3 1 2
7 1 4
4 0 1
2 0 1
2 0 1
4 0 1
2 0 1
2 0 1
2 0 1
4 1 2
4 1 2
8 1 4
3 0 1
7 1 4
13 1 5
8 1 5
4 1 2
2 0 1
4 1 2
10 1 7
6 1 2
5 1 3
2 0 1
4 0 1
6 1 3
6 1 3
6 1 3
5 1 2
4 0 1
6 1 4
4 0 1
2 0 1
6 1 4
4 0 1
2 0 1
6 1 4
2 0 1
3 0 1
8 1 4
10 1 5
3 0 1
8 1 3
3 0 1
4 0 1
5 1 3
5 1 3
8 1 5
2 0 1
4 1 2
5 0 1
5 1 2
8 1 6
5 1 3
7 0 1
4 0 1
9 1 7
8 1 3
2 0 1
2 0 1
2 0 1
2 0 1
3 1 2
8 1 3
4 0 1
2 0 1
3 1 2
6 1 4
6 1 3
3 1 2
8 1 4
5 1 3
2 0 1
5 1 3
3 1 2
7 1 5
4 1 2
8 1 5
3 0 1
7 1 3
5 1 3
3 1 2
10 1 4
3 1 2
4 1 3
4 1 2
5 1 2
6 1 2
6 1 2
2 0 1
12 1 6
2 0 1
7 1 3
6 1 3
6 1 3
4 1 2
4 1 3
2 0 1
3 0 1
4 1 2
8 1 6
5 1 2
2 0 1
3 1 2
2 0 1
3 0 1
4 0 1
2 0 1
7 1 3
4 1 3
2 0 1
9 1 6
3 0 1
2 0 1
9 1 3
5 1 3
4 1 2
8 0 1
4 1 3
13 1 4
6 1 3
6 1 3
10 1 6
7 1 4
4 0 1
11 1 4
3 0 1
2 0 1
4 1 3
3 0 1
3 1 2
5 1 4
2 0 1
4 1 3
3 0 1
4 1 2
8 1 5
2 0 1
2 0 1
12 1 4
7 0 1
6 0 1
6 1 3
3 1 2
3 0 1
13 1 4
2 0 1
8 1 3
4 0 1
4 1 3
13 1 4
4 0 1
3 0 1
2 0 1
2 0 1
8 0 1
3 1 2
3 1 2
5 1 3
10 1 3
10 1 3
3 0 1
6 1 3
11 1 2
6 1 3
6 1 4
2 0 1
2 0 1
4 0 1
2 0 1
3 0 1
5 1 3
8 1 4
4 1 2
3 0 1
3 1 2
2 0 1
3 0 1
3 0 1
4 1 2
6 1 3
8 1 4
3 0 1
4 0 1
3 0 1
5 1 4
8 1 4
3 0 1
4 1 2
3 0 1
3 0 1
4 1 2
5 1 2
7 1 6
11 1 5
2 0 1
3 0 1
4 1 2
2 0 1
5 1 2
6 1 2
3 1 2
3 1 2
4 0 1
6 1 2
2 0 1
3 0 1
5 1 4
5 1 4
3 0 1
5 1 2
3 0 1
4 1 2
9 1 5
3 1 2
2 0 1
3 0 1
6 1 2
3 0 1
4 1 2
6 1 3
2 0 1
5 0 1
4 1 3
3 0 1
5 0 1
2 0 1
6 1 2
3 0 1
9 1 3
2 0 1
9 1 7
2 0 1
2 0 1
5 0 1
9 1 5
8 1 3
3 0 1
6 1 3
6 1 4
2 0 1
5 0 1
6 1 2
10 1 6
5 1 3
3 0 1
3 0 1
8 1 4
5 1 2
2 0 1
5 0 1
3 0 1
2 0 1
6 1 3
2 0 1
4 0 1
6 1 2
3 0 1
5 0 1
4 0 1
3 1 2
4 1 3
3 0 1
8 1 6
3 0 1
5 1 3
7 1 6
3 0 1
5 1 3
5 1 3
7 1 4
6 0 1
2 0 1
3 0 1
3 1 2
2 0 1
2 0 1
5 1 3
6 0 1
2 0 1
2 0 1
10 1 4
5 0 1
4 0 1
3 0 1
3 0 1
2 0 1
6 1 3
2 0 1
2 0 1
3 0 1
6 1 3
8 1 4
7 1 2
4 0 1
2 0 1
8 1 3
3 0 1
7 1 2
2 0 1
3 0 1
3 0 1
8 1 4
6 1 3
13 1 2
2 0 1
5 0 1
5 0 1
3 0 1
3 0 1
11 1 4
3 0 1
3 0 1
3 0 1
8 0 1
5 1 3
2 0 1
6 1 5
14 1 4
3 0 1
6 0 1
11 1 5
10 1 5
10 1 4
8 1 4
3 0 1
3 0 1
7 1 4
7 1 2
8 1 5
2 0 1
5 1 4
3 1 2
4 1 2
4 1 3
5 1 4
2 0 1
2 0 1
3 1 2
2 0 1
4 1 2
2 0 1
3 0 1
10 1 3
3 0 1
2 0 1
4 0 1
6 1 3
4 0 1
3 0 1
5 1 2
7 0 1
11 0 1
3 0 1
2 0 1
2 0 1
3 0 1
4 1 2
7 1 4
2 0 1
2 0 1
6 1 4
5 1 2
6 1 2
5 1 3
5 1 2
3 0 1
2 0 1
4 1 3
2 0 1
4 0 1
3 1 2
6 1 2
2 0 1
5 1 3
2 0 1
7 0 1
5 1 3
8 1 6
2 0 1
2 0 1
4 0 1
7 1 2
3 1 2
2 0 1
3 0 1
6 1 3
11 1 4
4 1 2
3 1 2
4 0 1
8 0 1
2 0 1
2 0 1
2 0 1
2 0 1
5 1 4
7 1 4
5 1 2
3 0 1
12 1 5
4 1 2
2 0 1
8 1 2
3 0 1
6 1 2
4 1 2
3 1 2
2 0 1
9 1 6
6 1 4
3 0 1
3 0 1
8 1 3
2 0 1
9 1 4
4 0 1
7 0 1
2 0 1
3 0 1
6 1 3
2 0 1
3 1 2
4 0 1
6 1 3
2 0 1
2 0 1
4 0 1
3 0 1
13 1 4
6 1 3
2 0 1
10 1 4
4 0 1
15 0 1
5 1 2
2 0 1
4 1 3
3 0 1
8 1 2
5 1 2
9 1 5
4 1 2
4 1 2
4 1 2
2 0 1
3 0 1
6 1 3
3 0 1
9 1 3
5 0 1
7 1 2
7 1 5
2 0 1
6 1 2
7 1 2
2 0 1
7 1 2
3 0 1
4 0 1
7 1 6
4 0 1
4 1 3
2 0 1
4 0 1
7 1 4
6 1 3
6 1 3
6 1 3
2 0 1
12 0 1
2 0 1
7 0 1
4 1 3
4 1 2
7 1 4
5 0 1
4 1 2
4 1 3
10 1 5
3 0 1
7 1 3
2 0 1
12 1 4
3 1 2
3 0 1
3 1 2
3 0 1
3 0 1
4 0 1
4 1 3
3 0 1
7 1 6
9 1 2
3 0 1
5 1 3
4 1 2
5 1 2
5 1 2
2 0 1
12 1 6
4 1 2
3 1 2
2 0 1
2 0 1
11 1 4
2 0 1
6 1 3
8 1 6
4 1 2
6 1 4
6 1 4
10 1 3
4 0 1
4 1 2
6 1 5
3 1 2
3 0 1
6 0 1
6 1 4
11 1 5
3 0 1
4 0 1
11 1 4
3 1 2
2 0 1
5 1 4
4 1 2
5 1 3
7 1 3
9 1 2
9 1 4
9 1 2
3 0 1
2 0 1
5 1 4
7 1 5
3 0 1
9 1 3
4 0 1
3 0 1
5 1 2
6 0 1
9 1 4
6 1 2
5 1 2
2 0 1
11 1 2
3 0 1
4 1 2
2 0 1
5 1 2
5 1 3
2 0 1
4 1 2
5 1 3
8 1 5
2 0 1
4 0 1
5 1 3
4 0 1
2 0 1
4 1 2
4 1 2
6 0 1
4 0 1
12 1 3
4 1 2
2 0 1
6 1 3
7 0 1
3 1 2
4 1 3
3 0 1
9 1 3
4 0 1
2 0 1
4 1 2
2 0 1
4 0 1
3 0 1
4 1 2
5 1 2
9 1 6
3 0 1
6 1 4
3 1 2
4 1 2
4 1 2
5 1 3
3 0 1
3 0 1
5 1 2
7 1 3
4 1 2
3 1 2
8 1 4
9 1 6
2 0 1
8 1 3
4 1 2
6 1 5
2 0 1
3 1 2
15 1 3
7 1 5
4 1 2
9 1 6
3 0 1
2 0 1
8 1 3
5 1 4
6 1 3
2 0 1
2 0 1
2 0 1
3 1 2
3 0 1
4 1 2
5 0 1
3 1 2
5 1 2
5 0 1
3 0 1
4 0 1
3 0 1
3 0 1
5 1 3
7 1 2
7 1 2
4 1 3
2 0 1
3 1 2
7 1 4
2 0 1
4 1 2
11 1 5
8 1 2
7 1 4
13 1 5
6 0 1
4 0 1
5 1 2
7 1 3
3 1 2
3 0 1
6 1 4
4 0 1
6 1 4
3 0 1
6 1 3
5 1 3
16 1 2
5 0 1
4 1 2
5 0 1
3 1 2
10 1 5
2 0 1
7 1 2
5 0 1
6 1 3
4 1 2
2 0 1
7 1 4
4 1 2
6 1 5
4 1 2
6 1 2
2 0 1
2 0 1
3 0 1
4 0 1
5 1 3
4 1 2
11 1 2
6 0 1
3 0 1
2 0 1
4 1 3
8 1 4
5 1 2
2 0 1
3 1 2
3 0 1
5 0 1
5 1 2
2 0 1
5 0 1
9 1 5
3 1 2
12 1 6
4 0 1
4 1 2
10 1 3
3 1 2
2 0 1
8 1 3
3 0 1
2 0 1
2 0 1
6 1 3
3 0 1
2 0 1
5 1 2
6 1 2
2 0 1
3 0 1
6 1 2
2 0 1
7 1 3
9 0 1
2 0 1
2 0 1
5 1 2
5 1 2
9 1 3
2 0 1
2 0 1
7 1 6
4 1 2
6 0 1
2 0 1
4 1 2
2 0 1
3 0 1
7 1 4
9 1 6
9 1 6
4 0 1
6 1 2
3 0 1
6 1 5
3 0 1
7 1 2
11 1 6
5 1 2
2 0 1
4 0 1
6 0 1
3 0 1
7 1 4
10 1 6
2 0 1
9 1 6
2 0 1
4 0 1
9 1 5
2 0 1
8 1 6
6 1 3
6 1 2
6 1 2
6 1 3
2 0 1
4 0 1
4 1 2
4 1 3
9 1 3
4 0 1
6 1 4
3 0 1
2 0 1
9 1 3
10 1 5
2 0 1
2 0 1
4 0 1
3 0 1
3 0 1
2 0 1
6 1 5
5 1 3
3 0 1
2 0 1
10 1 3
2 0 1
2 0 1
8 1 2
7 1 5
9 1 3
3 0 1
6 1 5
5 1 2
10 1 4
9 1 4
10 1 6
3 0 1
4 0 1
4 0 1
10 1 5
5 1 2
7 1 2
4 0 1
9 1 5
4 0 1
4 0 1
4 1 2
8 1 3
4 0 1
10 1 3
5 0 1
4 1 2
8 1 5
5 0 1
5 1 3
3 0 1
3 0 1
3 0 1
3 0 1
6 1 5
8 1 2
6 1 3
8 1 3
7 1 3
2 0 1
7 1 3
4 0 1
7 0 1
4 1 2
4 0 1
4 1 2
7 1 3
4 1 2
3 1 2
2 0 1
6 1 3
6 0 1
5 1 2
6 1 3
3 0 1
7 1 6
2 0 1
4 1 2
2 0 1
4 1 3
9 1 6
4 1 3
7 1 4
2 0 1
8 1 5
3 1 2
5 1 2
5 0 1
6 1 2
7 1 4
2 0 1
2 0 1
4 1 2
10 1 6
5 1 2
5 1 2
4 0 1
4 1 2
7 1 3
5 0 1
4 0 1
8 1 3
4 1 2
10 1 3
6 1 4
5 0 1
7 0 1
12 1 4
3 0 1
9 1 5
6 0 1
10 1 6
2 0 1
6 1 3
12 1 5
8 1 3
3 0 1
4 1 2
12 1 4
6 0 1
4 0 1
8 0 1
5 0 1
7 1 3
3 0 1
2 0 1
5 1 2
6 1 4
5 0 1
9 1 6
4 1 3
3 0 1
4 0 1
7 1 3
7 1 2
6 1 2
3 0 1
3 0 1
6 1 3
7 1 4
4 1 2
2 0 1
4 0 1
7 1 4
3 0 1
3 0 1
3 0 1
7 0 1
5 0 1
4 1 2
7 1 3
3 0 1
4 1 3
4 1 3
7 1 6
11 1 7
9 1 2
7 0 1
4 0 1
4 0 1
10 1 6
2 0 1
4 0 1
2 0 1
3 0 1
8 1 4
8 1 3
7 1 5
5 1 3
10 1 5
10 1 2
4 0 1
9 1 3
6 0 1
10 1 6
8 1 3
5 1 2
2 0 1
4 0 1
3 1 2
3 1 2
8 1 5
13 1 4
4 0 1
9 1 2
4 1 2
7 1 3
7 1 3
6 1 2
9 1 7
9 1 3
9 1 5
6 1 3
8 1 4
3 0 1
10 1 4
6 1 3
2 0 1
13 1 5
6 1 2
6 1 3
9 1 4
6 1 2
8 1 3
2 0 1
5 0 1
3 0 1
2 0 1
4 1 2
4 0 1
4 1 3
4 1 2
10 1 5
10 1 4
12 1 4
6 1 4
5 1 2
4 1 2
11 1 7
4 0 1
5 0 1
4 0 1
2 0 1
8 1 5
5 0 1
3 0 1
8 1 7
12 1 6
4 1 2
7 1 4
3 1 2
3 0 1
3 0 1
4 0 1
13 1 4
11 1 2
6 1 3
14 1 4
11 1 5
6 1 3
5 1 2
9 1 4
3 0 1
9 1 4
4 0 1
4 1 2
6 1 3
2 0 1
13 1 4
7 1 3
4 0 1
7 1 3
7 1 2
2 0 1
3 1 2
4 1 2
7 1 2
3 0 1
11 0 1
2 0 1
5 1 3
3 0 1
8 1 6
4 0 1
5 0 1
9 1 6
3 0 1
12 1 3
11 1 5
4 0 1
5 1 2
6 1 3
10 1 6
12 1 4
7 1 2
10 1 3
3 0 1
10 1 3
11 1 3
4 1 2
5 1 2
11 1 3
3 0 1
4 1 2
7 1 3
3 0 1
3 0 1
11 1 6
2 0 1
6 0 1
9 1 5
7 1 4
3 0 1
6 0 1
3 0 1
6 1 2
9 1 3
12 1 4
7 1 3
14 1 3
3 0 1
12 1 5
4 0 1
8 1 4
8 1 3
11 1 4
3 1 2
3 1 2
3 0 1
3 0 1
2 0 1
3 0 1
6 1 3
3 1 2
4 1 2
7 1 4
3 1 2
2 0 1
7 1 4
5 1 3
3 1 2
4 1 2
2 0 1
5 0 1
3 1 2
5 1 2
7 1 5
11 1 4
3 1 2
8 1 4
2 0 1
3 0 1
5 1 2
2 0 1
5 1 4
2 0 1
2 0 1
2 0 1
2 0 1
3 0 1
2 0 1
3 0 1
2 0 1
4 1 2
2 0 1
3 1 2
4 0 1
3 0 1
2 0 1
7 1 4
6 0 1
3 1 2
8 1 5
3 0 1
3 1 2
4 1 2
5 1 3
5 1 3
2 0 1
2 0 1
3 0 1
6 1 2
2 0 1
3 1 2
4 1 2
2 0 1
5 0 1
4 1 2
8 1 4
3 0 1
3 0 1
4 0 1
6 1 2
3 1 2
6 1 3
2 0 1
3 0 1
4 1 2
3 0 1
2 0 1
3 0 1
2 0 1
3 0 1
3 0 1
4 1 2
5 1 2
2 0 1
3 0 1
2 0 1
3 1 2
6 1 2
4 0 1
7 1 3
5 1 4
5 1 4
4 1 3
9 1 3
4 1 2
2 0 1
3 0 1
3 1 2
8 1 4
4 0 1
4 1 3
2 0 1
4 0 1
4 0 1
2 0 1
2 0 1
5 1 3
8 1 3
2 0 1
4 1 2
4 1 2
7 1 4
6 1 3
8 1 4
3 0 1
7 1 2
5 1 3
4 1 2
2 0 1
5 1 3
5 1 3
4 0 1
7 1 5
6 1 3
3 1 2
4 0 1
3 0 1
6 1 2
7 1 5
2 0 1
4 0 1
5 1 2
3 0 1
2 0 1
6 1 5
5 1 2
2 0 1
2 0 1
2 0 1
6 1 2
7 1 2
5 1 2
7 0 1
6 1 5
5 1 2
5 1 3
4 0 1
3 0 1
4 1 3
4 0 1
5 1 3
4 0 1
3 0 1
3 1 2
3 0 1
2 0 1
3 0 1
3 1 2
2 0 1
4 1 3
9 1 5
2 0 1
7 1 4
4 1 2
5 1 2
3 1 2
2 0 1
3 1 2
4 1 3
5 1 4
4 1 3
3 1 2
2 0 1
6 1 2
6 1 4
2 0 1
4 1 2
7 1 6
3 1 2
2 0 1
2 0 1
7 1 5
3 1 2
3 0 1
2 0 1
2 0 1
2 0 1
7 1 3
5 1 2
9 1 4
3 0 1
3 1 2
7 1 5
4 0 1
3 1 2
2 0 1
14 1 3
3 0 1
5 0 1
2 0 1
6 1 3
3 0 1
3 0 1
4 1 2
3 0 1
3 0 1
2 0 1
2 0 1
7 1 3
3 1 2
3 0 1
3 1 2
4 0 1
5 1 2
4 0 1
6 1 5
5 1 3
3 0 1
2 0 1
2 0 1
2 0 1
3 0 1
5 1 3
11 1 5
2 0 1
6 1 4
2 0 1
4 1 3
3 0 1
5 1 2
3 1 2
3 0 1
5 1 4
2 0 1
3 0 1
2 0 1
6 1 2
2 0 1
4 0 1
3 0 1
7 1 5
9 1 6
2 0 1
6 1 3
3 1 2
3 1 2
5 1 3
5 1 3
11 1 5
7 1 4
3 1 2
4 0 1
4 0 1
4 1 3
4 1 3
2 0 1
5 1 2
2 0 1
4 1 3
3 0 1
3 1 2
5 1 3
8 1 3
3 0 1
2 0 1
2 0 1
4 0 1
9 1 4
5 1 2
4 1 2
9 1 4
3 1 2
6 1 2
5 1 3
3 0 1
4 0 1
2 0 1
4 0 1
3 0 1
6 1 3
2 0 1
5 1 2
6 1 5
3 1 2
2 0 1
2 0 1
3 0 1
10 1 5
6 1 4
5 0 1
6 1 4
2 0 1
2 0 1
11 1 2
2 0 1
2 0 1
2 0 1
2 0 1
8 1 6
7 1 2
4 1 2
9 1 2
3 0 1
10 1 6
2 0 1
4 0 1
6 1 5
4 1 2
6 1 2
2 0 1
10 1 6
2 0 1
5 1 2
3 0 1
6 1 2
3 1 2
3 1 2
4 1 2
3 0 1
6 1 4
3 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
3 0 1
5 1 2
3 0 1
7 1 5
2 0 1
3 0 1
5 1 2
6 1 4
4 1 2
3 1 2
3 0 1
7 1 6
2 0 1
2 0 1
6 1 5
5 1 2
7 1 5
9 1 3
6 1 4
7 1 4
5 1 2
6 1 2
5 1 3
2 0 1
2 0 1
4 1 2
2 0 1
3 1 2
5 1 2
3 0 1
7 1 4
4 0 1
6 1 2
2 0 1
6 1 2
2 0 1
5 1 3
7 1 4
4 1 3
2 0 1
10 1 4
3 0 1
3 0 1
5 1 2
2 0 1
2 0 1
8 1 6
9 1 6
5 1 3
4 1 3
3 0 1
6 1 3
4 0 1
5 0 1
2 0 1
5 1 2
4 1 2
9 1 3
6 1 2
4 1 2
4 0 1
3 1 2
3 0 1
3 1 2
3 1 2
5 1 2
2 0 1
3 1 2
3 1 2
2 0 1
2 0 1
10 1 4
2 0 1
7 1 4
9 1 5
3 0 1
3 0 1
4 0 1
8 1 5
2 0 1
2 0 1
2 0 1
5 1 3
5 1 2
3 0 1
6 0 1
2 0 1
4 1 2
3 0 1
5 1 3
6 0 1
9 1 6
5 1 2
9 1 3
3 1 2
3 0 1
3 0 1
2 0 1
3 0 1
2 0 1
9 1 5
2 0 1
4 0 1
3 0 1
6 1 2
5 0 1
10 1 3
5 1 4
4 0 1
5 1 3
2 0 1
4 1 3
8 1 4
2 0 1
4 0 1
3 0 1
9 1 3
3 0 1
3 0 1
3 0 1
6 1 3
4 1 2
4 0 1
4 1 2
2 0 1
3 0 1
2 0 1
2 0 1
7 1 5
5 0 1
2 0 1
4 0 1
3 0 1
6 1 3
3 1 2
10 1 4
3 0 1
4 0 1
6 1 4
7 1 5
4 1 2
6 1 3
5 1 4
2 0 1
6 1 2
2 0 1
9 1 6
3 0 1
8 1 4
3 0 1
7 1 3
4 1 2
9 1 3
6 1 4
5 1 3
7 1 4
2 0 1
4 1 2
2 0 1
9 1 4
8 1 5
2 0 1
4 1 3
4 0 1
8 1 5
2 0 1
7 1 2
9 1 4
5 1 2
6 1 2
7 1 3
3 1 2
5 1 3
4 1 2
8 1 3
6 1 5
4 1 3
6 1 4
3 1 2
4 1 2
3 1 2
3 1 2
7 1 5
4 0 1
11 1 5
8 1 6
3 0 1
4 1 2
7 1 3
3 0 1
4 1 3
3 0 1
5 1 3
5 1 3
8 1 2
4 0 1
7 1 2
2 0 1
5 1 3
7 1 4
5 1 2
3 0 1
10 1 5
3 0 1
5 0 1
2 0 1
2 0 1
4 1 2
4 1 3
2 0 1
2 0 1
5 1 2
3 1 2
6 1 4
9 1 4
2 0 1
7 1 2
3 0 1
5 1 3
5 0 1
7 1 5
12 1 2
11 1 3
3 0 1
8 1 4
3 1 2
5 1 2
3 1 2
2 0 1
6 1 4
8 1 5
2 0 1
4 0 1
3 0 1
5 1 2
8 1 6
3 1 2
4 1 2
4 0 1
7 1 2
4 1 2
2 0 1
11 1 5
4 0 1
3 0 1
4 1 2
8 1 3
6 1 3
4 0 1
8 1 4
3 1 2
2 0 1
4 0 1
5 1 2
3 0 1
4 1 2
2 0 1
4 1 2
4 1 2
2 0 1
3 1 2
10 1 5
6 1 3
2 0 1
3 0 1
12 1 5
7 1 4
8 1 5
8 1 2
4 1 2
2 0 1
3 0 1
3 0 1
4 0 1
2 0 1
8 1 4
3 0 1
2 0 1
4 1 3
4 1 2
4 0 1
3 0 1
5 0 1
2 0 1
4 1 3
5 0 1
4 0 1
3 0 1
4 0 1
6 1 3
8 1 2
6 1 2
3 0 1
9 1 4
2 0 1
5 1 4
3 0 1
6 0 1
2 0 1
6 1 5
2 0 1
3 1 2
4 1 2
2 0 1
9 1 3
5 0 1
6 0 1
9 1 3
5 0 1
3 0 1
2 0 1
4 1 2
3 0 1
6 1 3
4 0 1
4 0 1
5 1 4
7 1 3
2 0 1
5 1 2
2 0 1
2 0 1
3 1 2
3 0 1
3 0 1
6 1 2
8 1 5
7 1 4
7 1 2
4 0 1
3 1 2
3 0 1
7 1 5
6 0 1
2 0 1
2 0 1
2 0 1
3 0 1
5 1 3
4 1 2
2 0 1
13 1 3
3 0 1
5 1 2
2 0 1
3 1 2
7 1 6
6 1 2
5 1 2
7 1 3
3 0 1
4 0 1
3 0 1
5 1 4
6 1 2
5 1 2
5 1 3
7 1 4
2 0 1
10 1 5
3 1 2
5 1 2
5 1 2
4 1 3
5 1 3
2 0 1
4 0 1
8 1 4
2 0 1
2 0 1
11 1 2
5 1 2
6 1 3
5 0 1
2 0 1
3 0 1
4 0 1
2 0 1
5 1 2
2 0 1
5 0 1
3 0 1
6 1 2
4 1 2
3 0 1
8 1 6
5 1 3
8 1 2
7 1 2
4 1 2
2 0 1
5 1 4
4 1 2
4 1 2
4 0 1
7 1 2
3 1 2
5 1 3
4 1 2
2 0 1
6 1 2
8 1 4
5 1 2
3 0 1
3 0 1
7 1 3
4 0 1
2 0 1
8 1 4
9 1 3
5 0 1
2 0 1
3 0 1
8 1 6
3 0 1
2 0 1
4 1 2
2 0 1
5 0 1
6 1 3
9 1 6
3 0 1
3 1 2
8 1 5
2 0 1
2 0 1
3 0 1
3 0 1
3 1 2
4 0 1
3 0 1
3 0 1
4 1 3
7 1 5
3 1 2
6 1 3
2 0 1
2 0 1
7 1 3
8 1 5
10 1 7
4 1 3
2 0 1
9 0 1
2 0 1
3 0 1
4 1 2
5 0 1
6 1 3
6 1 4
3 0 1
9 1 2
3 1 2
5 0 1
5 0 1
3 0 1
2 0 1
3 0 1
5 1 2
5 1 3
3 0 1
8 1 6
2 0 1
4 1 2
4 0 1
6 1 3
4 0 1
3 0 1
4 0 1
6 0 1
3 0 1
5 0 1
3 0 1
3 0 1
7 0 1
4 0 1
2 0 1
7 1 4
10 1 4
4 0 1
7 1 2
6 0 1
3 0 1
2 0 1
3 1 2
7 1 3
8 1 4
5 0 1
2 0 1
3 0 1
3 0 1
4 1 3
3 1 2
3 0 1
7 1 2
4 1 2
2 0 1
2 0 1
5 0 1
5 1 2
